08:05:53.303 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 100%25renewableenergy.txt
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 88888LightsOut.txt
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 179
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 2
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.3571013321992943
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.8666995516457405
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.4264941115395033
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.8864474631301268
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.8864474631301268
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Africa.txt
08:05:53.310 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 6737
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 3
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 2.4491155029421554
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.211205744572022
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.5744277671657079
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.4538918838255386
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.4538918838255386
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Agenda21.txt
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 1449
08:05:53.311 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 3
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.7622336891440081
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.7542769921614432
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.2803577510564548
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.8243323390156148
08:05:53.312 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.8243323390156148
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Airconditioning.txt
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 6152
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 3
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 2.262499417262897
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.2541569084738744
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.313 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.630259326239973
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.4887390980170121
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.4887390980170121
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Airsourceheatpumps.txt
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 2403
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 2
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.0665614596363364
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.4348318329552725
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.8651158889741546
08:05:53.314 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.6233231900253764
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.6233231900253764
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Algaefuel.txt
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 9262
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 2
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 3.254595188993653
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 0.8373623165522438
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.0884744299358464
08:05:53.315 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.08477711031488788
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.08477711031488788
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: AlliancetoSaveEnergy.txt
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 602
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 1
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.4920391172289116
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.4744921728901776
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.9166697564558595
08:05:53.316 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.6505891782037767
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.6505891782037767
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Alternativeenergy.txt
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 5168
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 6
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.9486015910947094
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.6606694710663
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.317 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.1586787703480046
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.7694963541488565
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.7694963541488565
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Anticonsumerism.txt
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 1782
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 1
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.8684613071460473
08:05:53.318 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.177439421188955
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.530535441384028
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.42561763587094265
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.42561763587094265
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Appropriatetechnology.txt
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 4504
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.319 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 1
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.7367843588023553
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 0.8038631150912975
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.044929331843013
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.043949258099489345
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.043949258099489345
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Artificialphotosynthesis.txt
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 3849
08:05:53.320 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 1
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.5278381432127588
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 0.8703088866298645
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.1313011709710004
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.12336844901648608
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.12336844901648608
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: ASHRAE.txt
08:05:53.321 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 873
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 1
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.578488620167508
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.3937382708318402
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.8116989979555755
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.5942650779034537
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.5942650779034537
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: ASME.txt
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 616
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.322 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 1
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.49650514321097927
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.4700918402990355
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.9109498316228524
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.6476004124922125
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.6476004124922125
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: BadenW%C3%BCrttemberg.txt
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 2077
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 1
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.9625668546253311
08:05:53.323 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.1209809208868946
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.4571459029291005
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.3764796614781887
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.3764796614781887
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Batteryelectricvehicle.txt
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 1774
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 5
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.8659092922991514
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.8752420898224518
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.324 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.437598425870707
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.8910133029190138
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.8910133029190138
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: BillGates.txt
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 4908
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 6
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.8656611085705948
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.6781806154370158
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.1814412382901
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.7799857768401438
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.7799857768401438
08:05:53.325 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Biochar.txt
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 2182
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 3
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.996062049490839
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.651626005367195
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.1469233080147965
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.7640357977252534
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.7640357977252534
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Biodiesel.txt
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 8915
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.326 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 2
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 3.1439015450095464
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 0.8553818461530905
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.1118977400398304
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.10606823120393825
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.10606823120393825
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Biodiversity.txt
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 7243
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 17
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 2.6105304420083164
08:05:53.327 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.907138621803127
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.479060238491493
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.9078795522703272
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.9078795522703272
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Bioenergywithcarboncaptureandstorage.txt
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 1542
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 4
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.7919008617391722
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.328 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.836431982611203
08:05:53.329 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
